DATE,LTOTALNSA
5/1/1996,1489
6/1/1996,1369
7/1/1996,1285
8/1/1996,1303.1
9/1/1996,1204
10/1/1996,1266.7
11/1/1996,1123.2
12/1/1996,1124.9
1/1/1997,1089.2
2/1/1997,1151.2
3/1/1997,1392.9
4/1/1997,1276.4
5/1/1997,1402.7
6/1/1997,1323.4
7/1/1997,1344.6
8/1/1997,1317.1
9/1/1997,1207.4
10/1/1997,1246.7
11/1/1997,1117.8
12/1/1997,1252.5
1/1/1998,1017.1
2/1/1998,1144
3/1/1998,1368.8
4/1/1998,1353.1
5/1/1998,1508.8
6/1/1998,1569.5
7/1/1998,1229.6
8/1/1998,1229.1
9/1/1998,1277.9
10/1/1998,1368.5
11/1/1998,1141.1
12/1/1998,1335.5
1/1/1999,1090.7
2/1/1999,1286.8
3/1/1999,1532.4
4/1/1999,1404.3
5/1/1999,1588.4
6/1/1999,1603.5
7/1/1999,1486.5
8/1/1999,1479.8
9/1/1999,1398.2
10/1/1999,1351.9
11/1/1999,1275.8
12/1/1999,1395.4
1/1/2000,1204.8
2/1/2000,1499.8
3/1/2000,1663.5
4/1/2000,1495.4
5/1/2000,1619.7
6/1/2000,1613.9
7/1/2000,1432
8/1/2000,1539.6
9/1/2000,1474.4
10/1/2000,1334
11/1/2000,1232.3
12/1/2000,1240.3
1/1/2001,1167.9
2/1/2001,1353.1
3/1/2001,1593.6
4/1/2001,1346.3
5/1/2001,1599.8
6/1/2001,1619.6
7/1/2001,1346.9
8/1/2001,1448.5
9/1/2001,1289.1
10/1/2001,1722.4
11/1/2001,1324.5
12/1/2001,1310.7
1/1/2002,1108.482
2/1/2002,1307.003
3/1/2002,1514.73
4/1/2002,1441.794
5/1/2002,1506.76
6/1/2002,1536.508
7/1/2002,1524.422
8/1/2002,1705.595
9/1/2002,1223.89
10/1/2002,1301.113
11/1/2002,1203.093
12/1/2002,1442.823
1/1/2003,1088.199
2/1/2003,1216.018
3/1/2003,1449.681
4/1/2003,1408.148
5/1/2003,1573.551
6/1/2003,1473.897
7/1/2003,1509.489
8/1/2003,1628.911
9/1/2003,1301.276
10/1/2003,1302.6
11/1/2003,1258.681
12/1/2003,1428.651
1/1/2004,1122.521
2/1/2004,1274.511
3/1/2004,1502.72
4/1/2004,1419.387
5/1/2004,1625.255
6/1/2004,1443.644
7/1/2004,1552.94
8/1/2004,1426.191
9/1/2004,1433.618
10/1/2004,1331.827
11/1/2004,1196.165
12/1/2004,1538.086
1/1/2005,1060.511
2/1/2005,1250.683
3/1/2005,1572.585
4/1/2005,1499.407
5/1/2005,1495.78
6/1/2005,1673.756
7/1/2005,1804.325
8/1/2005,1480.822
9/1/2005,1325.956
10/1/2005,1143.072
11/1/2005,1161.567
12/1/2005,1479.707
1/1/2006,1139.926
2/1/2006,1257.182
3/1/2006,1525.66
4/1/2006,1443.779
5/1/2006,1484.938
6/1/2006,1495.919
7/1/2006,1489.597
8/1/2006,1482.517
9/1/2006,1350.482
10/1/2006,1213.124
11/1/2006,1194.895
12/1/2006,1426.089
1/1/2007,1087.39
2/1/2007,1251.102
3/1/2007,1536.912
4/1/2007,1332.402
